63add9	404ff0	i	p.p	p.p	p.i	u	p.i
609004	40b320	p.p	p.p	i	p.u	p.p	i
60911a	411570	i	p.p	u	p.p	p.u	i
609210	42d8b0	p.i	p.i	i	i	i	i
637f5a	49fa00	p.i	p.i	i	i	i	p.i
637f5a	49fa00	p.i	p.i	i	i	i	p.i
637f5a	49fa00	p.i	p.i	i	i	i	p.i
637f5a	49fa00	p.i	p.i	i	i	i	p.i
637f5a	49fa00	p.i	p.i	i	i	i	p.i
637f5a	49fa00	p.i	p.i	i	i	i	p.i
637f5a	49fa00	p.i	p.i	i	i	i	p.i
637f5a	49fa00	p.i	p.i	i	i	i	p.i
637f5a	49fa00	p.i	p.i	i	i	i	p.i
637f5a	49fa00	p.i	p.i	i	i	i	p.i
637f5a	49fa00	p.i	p.i	i	i	i	p.i
637f5a	49fa00	p.i	p.i	i	i	i	p.i
637f5a	49fa00	p.i	p.i	i	i	i	p.i
637f5a	49fa00	p.i	p.i	i	i	i	p.i
637f5a	49fa00	p.i	p.i	i	i	i	p.i
637f5a	49fa00	p.i	p.i	i	i	i	p.i
637f5a	49fa00	p.i	p.i	i	i	i	p.i
637f5a	49fa00	p.i	p.i	i	i	i	p.i
637f5a	49fa00	p.i	p.i	i	i	i	p.i
637f5a	49fa00	p.i	p.i	i	i	i	p.i
637f5a	49fa00	p.i	p.i	i	i	i	p.i
637f5a	49fa00	p.i	p.i	i	i	i	p.i
637f5a	49fa00	p.i	p.i	i	i	i	p.i
637f5a	49fa00	p.i	p.i	i	i	i	p.i
637f5a	49fa00	p.i	p.i	i	i	i	p.i
637f5a	49fa00	p.i	p.i	i	i	i	p.i
637f5a	49fa00	p.i	p.i	i	i	i	p.i
637f5a	49fa00	p.i	p.i	i	i	i	p.i
637f5a	49fa00	p.i	p.i	i	i	i	p.i
637f5a	49fa00	p.i	p.i	i	i	i	p.i
637f5a	49fa00	p.i	p.p	i	p.i	p.i	p.i
637f5a	49fa00	p.i	p.p	i	p.i	p.i	p.i
637f5a	49fa00	p.i	p.i	i	i	i	p.i
637f5a	49fa00	p.i	p.i	i	i	i	p.i
637f5a	49fa00	p.i	p.i	i	i	i	p.i
637f5a	49fa00	p.i	p.i	i	i	i	p.i
637f5a	49fa00	p.i	p.i	i	i	i	p.i
637f5a	49fa00	p.i	p.i	i	i	i	p.i
637f5a	49fa00	p.i	p.i	i	i	i	p.i
637f5a	49fa00	p.i	p.i	i	i	i	p.i
637f5a	49fa00	p.i	p.i	i	i	i	p.i
637f5a	49fa00	p.i	p.i	i	i	i	p.i
637f5a	49fa00	p.i	p.i	i	i	i	p.i
637f5a	49fa00	p.i	p.i	i	i	i	p.i
637f5a	49fa00	p.i	p.i	i	i	i	p.i
637f5a	49fa00	p.i	p.i	i	i	i	p.i
637f5a	49fa00	p.i	p.i	i	i	i	p.i
637f5a	49fa00	p.i	p.i	i	i	i	p.i
637f5a	49fa00	p.i	p.i	i	i	i	p.i
637f5a	49fa00	p.i	p.i	i	i	i	p.i
637f5a	49fa00	p.i	p.i	u	u	i	p.i
637f5a	49fa00	p.i	p.i	u	u	i	p.i
637f5a	49fa00	p.i	p.i	u	u	u	p.i
637f5a	49fa00	p.i	p.i	u	u	i	p.i
637fc6	49fa00	p.i	p.i	i	i	i	p.i
637f5a	49fa00	p.i	p.i	u	u	i	p.i
