404fc9	63addd	u
42d8a8	60900a	p.u
411721	609120	i
42d973	609216	u
49fa0d	637f5e	i
49fa0d	637f5e	i
49fa0d	637f5e	i
49fa0d	637f5e	i
49fa0d	637f5e	i
49fa0d	637f5e	i
49fa0d	637f5e	i
49fa0d	637f5e	i
49fa0d	637f5e	i
49fa0d	637f5e	i
49fa0d	637f5e	i
49fa0d	637f5e	i
49fa0d	637f5e	i
49fa0d	637f5e	i
49fa0d	637f5e	i
49fa0d	637f5e	i
49fa0d	637f5e	i
49fa0d	637f5e	i
49fa0d	637f5e	i
49fa0d	637f5e	i
49fa0d	637f5e	i
49fa0d	637f5e	i
49fa0d	637f5e	i
49fa0d	637f5e	i
49fa0d	637f5e	i
49fa0d	637f5e	i
49fa0d	637f5e	i
49fa0d	637f5e	i
49fa0d	637f5e	i
49fa0d	637f5e	i
49fa0d	637f5e	i
49fa0d	637f5e	i
49fa0d	637f5e	i
49fa0d	637f5e	i
49fa0d	637f5e	i
49fa0d	637f5e	i
49fa0d	637f5e	i
49fa0d	637f5e	i
49fa0d	637f5e	i
49fa0d	637f5e	i
49fa0d	637f5e	i
49fa0d	637f5e	i
49fa0d	637f5e	i
49fa0d	637f5e	i
49fa0d	637f5e	i
49fa0d	637f5e	i
49fa0d	637f5e	i
49fa0d	637f5e	i
49fa0d	637f5e	i
49fa0d	637f5e	i
49fa0d	637f5e	i
49fa0d	637f5e	i
49fa0d	637f5e	u
49fa0d	637f5e	u
49fa0d	637fca	i
49fa0d	637f5e	u
49fa0d	637fca	i
49fa0d	637f5e	u
49fa0d	637fca	u
49fa0d	637f5e	u
49fa0d	637fca	u
49fa0d	637fca	i
49fa0d	637f5e	u
49fa0d	637fca	u
49fa0d	637fca	i
49fa0d	637f5e	u
49fa0d	637fca	u
49fa0d	637fca	u
49fa0d	637f5e	u
49fa0d	637fca	u
49fa0d	637fca	u
49fa0d	637fca	i
49fa0d	637f5e	u
49fa0d	637fca	u
49fa0d	637fca	u
49fa0d	637fca	i
49fa0d	637f5e	u
49fa0d	637fca	u
49fa0d	637fca	u
49fa0d	637fca	u
49fa0d	637f5e	u
49fa0d	637fca	u
49fa0d	637fca	u
49fa0d	637fca	u
49fa0d	637fca	i
49fa0d	637f5e	u
49fa0d	637fca	u
49fa0d	637fca	u
49fa0d	637fca	u
49fa0d	637fca	i
49fa0d	637f5e	u
49fa0d	637fca	u
49fa0d	637fca	u
49fa0d	637fca	u
49fa0d	637fca	u
